Dato;Helligdag;År;Ugedag
01-01-2026;Nytårsdag;2026;Torsdag
02-04-2026;Skærtorsdag;2026;Torsdag
03-04-2026;Langfredag;2026;Fredag
05-04-2026;Påskedag;2026;Søndag
06-04-2026;2. Påskedag;2026;Mandag
14-05-2026;Kristi Himmelfartsdag;2026;Torsdag
24-05-2026;Pinsedag;2026;Søndag
25-05-2026;2. Pinsedag;2026;Mandag
05-06-2026;Grundlovsdag;2026;Fredag
24-12-2026;Juleaftensdag;2026;Torsdag
25-12-2026;Juledag;2026;Fredag
26-12-2026;2. Juledag;2026;Lørdag
31-12-2026;Nytårsaftensdag;2026;Torsdag
01-01-2027;Nytårsdag;2027;Fredag
25-03-2027;Skærtorsdag;2027;Torsdag
26-03-2027;Langfredag;2027;Fredag
28-03-2027;Påskedag;2027;Søndag
29-03-2027;2. Påskedag;2027;Mandag
06-05-2027;Kristi Himmelfartsdag;2027;Torsdag
16-05-2027;Pinsedag;2027;Søndag
17-05-2027;2. Pinsedag;2027;Mandag
05-06-2027;Grundlovsdag;2027;Lørdag
24-12-2027;Juleaftensdag;2027;Fredag
25-12-2027;Juledag;2027;Lørdag
26-12-2027;2. Juledag;2027;Søndag
31-12-2027;Nytårsaftensdag;2027;Fredag
01-01-2028;Nytårsdag;2028;Lørdag
13-04-2028;Skærtorsdag;2028;Torsdag
14-04-2028;Langfredag;2028;Fredag
16-04-2028;Påskedag;2028;Søndag
17-04-2028;2. Påskedag;2028;Mandag
25-05-2028;Kristi Himmelfartsdag;2028;Torsdag
04-06-2028;Pinsedag;2028;Søndag
05-06-2028;2. Pinsedag;2028;Mandag
05-06-2028;Grundlovsdag;2028;Mandag
24-12-2028;Juleaftensdag;2028;Søndag
25-12-2028;Juledag;2028;Mandag
26-12-2028;2. Juledag;2028;Tirsdag
31-12-2028;Nytårsaftensdag;2028;Søndag
01-01-2029;Nytårsdag;2029;Mandag
29-03-2029;Skærtorsdag;2029;Torsdag
30-03-2029;Langfredag;2029;Fredag
01-04-2029;Påskedag;2029;Søndag
02-04-2029;2. Påskedag;2029;Mandag
10-05-2029;Kristi Himmelfartsdag;2029;Torsdag
20-05-2029;Pinsedag;2029;Søndag
21-05-2029;2. Pinsedag;2029;Mandag
05-06-2029;Grundlovsdag;2029;Tirsdag
24-12-2029;Juleaftensdag;2029;Mandag
25-12-2029;Juledag;2029;Tirsdag
26-12-2029;2. Juledag;2029;Onsdag
31-12-2029;Nytårsaftensdag;2029;Mandag
01-01-2030;Nytårsdag;2030;Tirsdag
18-04-2030;Skærtorsdag;2030;Torsdag
19-04-2030;Langfredag;2030;Fredag
